Word,Negative,Positive,Uncertainty,Litigious,StrongModal,WeakModal,Constraining
UPBEAT,0,1,0,0,0,0,0
ELIMINATE,1,0,0,0,0,0,0
INADEQUATE,1,0,0,0,0,0,0
HIGHEST,0,1,0,0,1,0,0
UNPREDICTABLE,0,0,1,0,0,0,0
ENFORCE,0,0,0,1,0,0,0
DELIVER,0,1,0,0,0,0,0
ABRUPT,1,0,0,0,0,0,0
AGAINST,1,0,0,0,0,0,0
CEASE,1,0,0,0,0,0,0
CONCERN,1,0,0,0,0,0,0
DISCONTINUE,1,0,0,0,0,0,0
HINDRANCE,1,0,0,0,0,0,0
BURDEN,1,0,0,0,0,0,0
WRITEOFF,1,0,0,0,0,0,0
ABSENCE,1,0,0,0,0,0,0
ENHANCE,0,1,0,0,0,0,0
LIQUIDATION,1,0,0,0,0,0,0
COMPLAINT,1,0,0,1,0,0,0
HALT,1,0,0,0,0,0,0
COUNSEL,0,0,0,1,0,0,0
HAZARD,1,0,0,0,0,0,0
BELIEVE,0,0,1,0,0,0,0
WRITEDOWN,1,0,0,0,0,0,0
CLASS ACTION,0,0,0,1,0,0,0
PROFIT,0,1,0,0,0,0,0
SUPERIOR,0,1,0,0,0,0,0
REVOKE,1,0,0,0,0,0,0
PENALTY,1,0,0,1,0,0,0
POSITIVE,0,1,0,0,0,0,0
RANDOM,0,0,1,0,0,0,0
FRAUD,1,0,0,0,0,0,0
DENY,1,0,0,0,0,0,0
PROGRESS,0,1,0,0,0,0,0
JUDGE,0,0,0,1,0,0,0
TRIBUNAL,0,0,0,1,0,0,0
PREDICT,0,0,1,0,0,0,0
UNFAVORABLE,1,0,0,0,0,0,0
ATTORNEY,0,0,0,1,0,0,0
SEEM,0,0,1,0,0,0,0
EXPAND,0,1,0,0,0,0,0
STRONG,0,1,0,0,0,0,0
SURPASS,0,1,0,0,0,0,0
CRISIS,1,0,0,0,0,0,0
APPROXIMATE,0,0,1,0,0,0,0
FAILURE,1,0,0,0,0,0,0
TESTIFY,0,0,0,1,0,0,0
BREAKTHROUGH,0,1,0,0,0,0,0
OPTIMAL,0,1,0,0,0,0,0
SUSPEND,1,0,0,0,0,0,0
ADVANTAGE,0,1,0,0,0,0,0
LAWSUIT,0,0,0,1,0,0,0
VARY,0,0,1,0,0,0,0
INABILITY,1,0,0,0,0,0,0
DANGER,1,0,0,0,0,0,0
LAYOFF,1,0,0,0,0,0,0
IMPAIR,1,0,0,0,0,0,0
ACCOMPLISH,0,1,0,0,0,0,0
VERDICT,0,0,0,1,0,0,0
PREMIUM,0,1,0,0,0,0,0
UNCLEAR,0,0,1,0,0,0,0
AMBIGUITY,0,0,1,0,0,0,0
FLUCTUATE,0,0,1,0,0,0,0
CONFLICT,1,0,0,0,0,0,0
CONFIDENT,0,1,0,0,0,0,0
ARBITRATE,0,0,0,1,0,0,0
SCANDAL,1,0,0,0,0,0,0
CRITICAL,1,0,0,0,0,0,0
STATUTE,0,0,0,1,0,0,0
LIABILITY,1,0,0,0,0,0,0
IMPOSE,1,0,0,0,0,0,0
PRESUME,0,0,1,0,0,0,0
GUILTY,0,0,0,1,0,0,0
DEPOSITION,0,0,0,1,0,0,0
THREAT,1,0,0,0,0,0,0
LEGAL,0,0,0,1,0,0,0
NONCOMPLIANCE,1,0,0,0,0,0,0
EXCLUSIVE,0,1,0,0,0,0,0
ADJUDICATE,0,0,0,1,0,0,0
APPEAR,0,0,1,0,0,0,0
HARM,1,0,0,0,0,0,0
UNABLE,1,0,0,0,0,0,0
DECLINE,1,0,0,0,0,0,0
SETTLEMENT,0,0,0,1,0,0,0
EXHAUST,1,0,0,0,0,0,0
OUTPERFORM,0,1,0,0,0,0,0
DIFFICULT,1,0,0,0,0,0,0
LITIGATE,0,0,0,1,0,0,0
VIOLATE,1,0,0,0,0,0,0
DELAY,1,0,0,0,0,0,0
WORSEN,1,0,0,0,0,0,0
INVESTIGATION,1,0,0,0,0,0,0
INCUR,1,0,0,0,0,0,0
INNOVATIVE,0,1,0,0,0,0,0
FAVORABLE,0,1,0,0,0,0,0
CREATIVE,0,1,0,0,0,0,0
PROBABLE,0,0,1,0,0,0,0
IMPROVE,0,1,0,0,0,0,0
DISASTER,1,0,0,0,0,0,0
LIKELIHOOD,0,0,1,0,0,0,0
BOOST,0,1,0,0,0,0,0
SANCTION,1,0,0,0,0,0,0
UPGRADE,0,1,0,0,0,0,0
INDICATE,0,0,1,0,0,0,0
SHORTAGE,1,0,0,0,0,0,0
MIGHT,0,0,1,0,0,1,0
NEARLY,0,0,1,0,0,1,0
RECESSION,1,0,0,0,0,0,0
MISREPRESENT,1,0,0,0,0,0,0
EXPECT,0,0,1,0,0,0,0
VULNERABLE,1,0,0,0,0,0,0
WARN,1,0,0,0,0,0,0
DOUBT,1,0,0,0,0,0,0
INCREASE,0,1,0,0,0,0,0
ALLEGATION,1,0,0,1,0,0,0
DEFAULT,1,0,0,0,0,0,0
REWARD,0,1,0,0,0,0,0
PERHAPS,0,0,1,0,0,1,0
WEAKNESS,1,0,0,0,0,0,0
EVICTION,1,0,0,0,0,0,0
DOWNGRADE,1,0,0,0,0,0,0
JEOPARDIZE,1,0,0,0,0,0,0
OCCASIONALLY,0,0,1,0,0,0,0
INSUFFICIENT,1,0,0,0,0,0,0
CLAIMANT,0,0,0,1,0,0,0
ACHIEVE,0,1,0,0,0,0,0
ERROR,1,0,0,0,0,0,0
ABANDON,1,0,0,0,0,0,0
DOWNTURN,1,0,0,0,0,0,0
EFFICIENT,0,1,0,0,0,0,0
LEADING,0,1,0,0,0,0,0
GROW,0,1,0,0,0,0,0
DISCLAIM,1,0,0,0,0,0,0
DIMINISH,1,0,0,0,0,0,0
EARN,0,1,0,0,0,0,0
PROSECUTE,1,0,0,1,0,0,0
AGGRAVATE,1,0,0,0,0,0,0
ENJOY,0,1,0,0,0,0,0
EXCLUDE,1,0,0,0,0,0,0
TENTATIVE,0,0,1,0,0,0,0
ERODE,1,0,0,0,0,0,0
DISCOVERY,0,0,0,1,0,0,0
PLEA,0,0,0,1,0,0,0
DEFENDANT,0,0,0,1,0,0,0
LITIGATION,1,0,0,0,0,0,0
RESTRUCTURE,1,0,0,0,0,0,0
EXCELLENT,0,1,0,0,0,0,0
CATASTROPHE,1,0,0,0,0,0,0
CLOSURE,1,0,0,0,0,0,0
INJUNCTION,0,0,0,1,0,0,0
NEGLECT,1,0,0,0,0,0,0
ASSUME,0,0,1,0,0,0,0
BENEFICIAL,0,1,0,0,0,0,0
SOLID,0,1,0,0,0,0,0
STRENGTH,0,1,0,0,0,0,0
VOLATILITY,1,0,0,0,0,0,0
INSOLVENT,1,0,0,0,0,0,0
NEGATIVE,1,0,0,0,0,0,0
WITNESS,0,0,0,1,0,0,0
SUE,0,0,0,1,0,0,0
OPPORTUNITY,0,1,0,0,0,0,0
CONDITIONAL,0,0,1,0,0,0,0
DEPLETE,1,0,0,0,0,0,0
ADVERSE,1,0,0,0,0,0,0
BREACH,1,0,0,0,0,0,0
FAIL,1,0,0,0,0,0,0
DAMAGE,1,0,0,0,0,0,0
GREAT,0,1,0,0,0,0,0
MAY,0,0,1,0,0,1,0
INDEFINITE,0,0,1,0,0,0,0
SUGGEST,0,0,1,0,0,0,0
CONTINGENT,0,0,1,0,0,0,0
MANIPULATION,1,0,0,0,0,0,0
LOSS,1,0,0,0,0,0,0
APPEAL,0,0,0,1,0,0,0
SUBPOENA,0,0,0,1,0,0,0
DEFECT,1,0,0,0,0,0,0
RISK,1,0,1,0,0,0,0
EXCEPTIONAL,0,1,0,0,0,0,0
INTERRUPT,1,0,0,0,0,0,0
ALMOST,0,0,1,0,0,1,0
PROBLEM,1,0,0,0,0,0,0
DISRUPT,1,0,0,0,0,0,0
SUCCEED,0,1,0,0,0,0,0
JURY,0,0,0,1,0,0,0
DEFICIT,1,0,0,0,0,0,0
ESTIMATE,0,0,1,0,0,0,0
GAIN,0,1,0,0,0,0,0
RECOVER,0,1,0,0,0,0,0
REJECT,1,0,0,0,0,0,0
PLAINTIFF,0,0,0,1,0,0,0
INDICT,0,0,0,1,0,0,0
ENABLE,0,1,0,0,0,0,0
SOMETIMES,0,0,1,0,0,1,0
EROSION,1,0,0,0,0,0,0
VIOLATION,0,0,0,1,0,0,0
IMPRESSIVE,0,1,0,0,0,0,0
THRIVE,0,1,0,0,0,0,0
VOLATILE,0,0,1,0,0,0,0
OBSTRUCT,1,0,0,0,0,0,0
PRELIMINARY,0,0,1,0,0,0,0
DEPEND,0,0,1,0,0,0,0
CONCEIVABLE,0,0,1,0,0,0,0
VARIABLE,0,0,1,0,0,0,0
LACK,1,0,0,0,0,0,0
DETERIORATE,1,0,0,0,0,0,0
PROSPER,0,1,0,0,0,0,0
DISCLOSE,1,0,0,0,0,0,0
POSSIBLE,0,0,1,0,0,1,0
DISPUTE,1,0,0,0,0,0,0
UNCERTAIN,1,0,1,0,0,0,0
COURT,0,0,0,1,0,0,0
BEST,0,1,0,0,1,0,0
EXCESSIVE,1,0,0,0,0,0,0
TERMINATE,1,0,0,0,0,0,0
