ipo_date,ticker,company_name,offer_price,Current,first_day_return_pct,scrape_year,underpricing,first_day_close,sector,industry,exchange,risk_factors_path,mda_path,full_text_path
2019-12-30,MKDTY,Molecular Data Inc.,5.38,-,-100.0,2019,-1.0,0.0,Materials,Chemicals,OTCMKTS,,,
2019-12-19,INDO,Indonesia Energy Corporation Limited,11.0,$3.25,-70.36,2019,-0.7036,3.2604,Energy,Oil & Gas Exploration & Production,NYSE,data/raw/s1_filings/INDO_2019-12-19_risk_factors.txt,data/raw/s1_filings/INDO_2019-12-19_mda.txt,data/raw/s1_filings/INDO_2019-12-19.txt
2019-12-19,MNPR,Monopar Therapeutics Inc.,8.0,$53.80,565.0,2019,5.65,53.2,Healthcare,Biotechnology,NASDAQ,data/raw/s1_filings/MNPR_2019-12-19_risk_factors.txt,data/raw/s1_filings/MNPR_2019-12-19_mda.txt,data/raw/s1_filings/MNPR_2019-12-19.txt
2019-12-13,CIIC,CIIG Merger,10.0,$21.60,116.0,2019,1.16,21.6,,,,,,
2019-12-13,HCCO,Healthcare Merger Corp,10.0,$8.97,-10.3,2019,-0.103,8.97,,,,,,
2019-12-13,OCFT,OneConnect Financial Technology Co. Ltd.,10.0,$7.89,-21.1,2019,-0.211,7.889999999999999,Technology,Software - Application,NYSE,,,
2019-12-13,SPT,"Sprout Social, Inc.",17.0,$6.07,-64.77,2019,-0.6476999999999999,5.9891000000000005,Technology,Software - Application,NASDAQ,data/raw/s1_filings/SPT_2019-12-13_risk_factors.txt,data/raw/s1_filings/SPT_2019-12-13_mda.txt,data/raw/s1_filings/SPT_2019-12-13.txt
2019-12-12,BILL,"BILL Holdings, Inc.",22.0,$37.71,69.05,2019,0.6905,37.191,Technology,Software - Application,NYSE,data/raw/s1_filings/BILL_2019-12-12_risk_factors.txt,data/raw/s1_filings/BILL_2019-12-12_mda.txt,data/raw/s1_filings/BILL_2019-12-12.txt
2019-12-12,EH,EHang Holdings Limited,12.5,$9.95,-20.24,2019,-0.2024,9.97,Industrials,Aerospace & Defense,NASDAQ,data/raw/s1_filings/EH_2019-12-12_risk_factors.txt,data/raw/s1_filings/EH_2019-12-12_mda.txt,data/raw/s1_filings/EH_2019-12-12.txt
2019-12-11,LIVK,LIV Capital Acquisition Corp.,10.0,$10.30,3.0,2019,0.03,10.3,,,,,,
2019-12-11,XP,XP Inc.,27.0,$19.54,-26.89,2019,-0.2689,19.7397,Financials,Capital Markets,NASDAQ,data/raw/s1_filings/XP_2019-12-11_risk_factors.txt,data/raw/s1_filings/XP_2019-12-11_mda.txt,data/raw/s1_filings/XP_2019-12-11.txt
2019-12-05,LMPX,"LMP Automotive Holdings, Inc.",5.0,$0.35,-93.0,2019,-0.93,0.3499999999999997,,,,,,
2019-11-26,ALUS,Alussa Energy Acquisition Corp.,10.0,$9.50,-5.0,2019,-0.05,9.5,,,,,,
2019-11-22,CHPM,CHP Merger Corp.,10.0,$10.18,1.8,2019,0.018,10.18,,,,,,
2019-11-22,PINE,"Alpine Income Property Trust, Inc.",19.0,$19.50,4.37,2019,0.0437,19.8303,Real Estate,REIT - Retail,NYSE,,,
2019-11-22,PTAC,PropTech Acquisition Corp.,10.0,$14.81,48.1,2019,0.481,14.81,Financials,Shell Companies,NASDAQ,,,
2019-11-21,CAN,Canaan Inc.,9.0,$0.52,-94.26,2019,-0.9426,0.5165999999999991,Technology,Computer Hardware,NASDAQ,data/raw/s1_filings/CAN_2019-11-21_risk_factors.txt,data/raw/s1_filings/CAN_2019-11-21_mda.txt,data/raw/s1_filings/CAN_2019-11-21.txt
2019-11-21,GRNV,Greenvision Acquisition Corp.,10.0,$8.14,-18.6,2019,-0.186,8.139999999999999,,,,,,
2019-11-21,SITM,SiTime Corporation,13.0,$544.08,4286.62,2019,42.8662,570.2606,Technology,Semiconductors,NASDAQ,data/raw/s1_filings/SITM_2019-11-21_risk_factors.txt,data/raw/s1_filings/SITM_2019-11-21_mda.txt,data/raw/s1_filings/SITM_2019-11-21.txt
2019-11-20,AMHC,Amplitude Healthcare Acquisition Corp.,10.0,$15.12,51.2,2019,0.512,15.12,Healthcare,Biotechnology,NASDAQ,,,
2019-11-20,SAQN,Software Acquisition Group,10.0,$10.10,1.0,2019,0.01,10.1,,,,,,
2019-11-13,YAYO,"EVmo, Inc.",4.0,-,-100.0,2019,-1.0,0.0,Industrials,Rental & Leasing Services,OTCMKTS,,,
2019-11-11,ETNB,"89bio, Inc.",16.0,$14.84,-7.25,2019,-0.0725,14.84,Healthcare,Biotechnology,NASDAQ,,,
2019-11-08,CNSP,"CNS Pharmaceuticals, Inc.",4.0,$2.34,-41.25,2019,-0.4125,2.35,Healthcare,Biotechnology,NASDAQ,data/raw/s1_filings/CNSP_2019-11-08_risk_factors.txt,data/raw/s1_filings/CNSP_2019-11-08_mda.txt,data/raw/s1_filings/CNSP_2019-11-08.txt
2019-11-08,JIH,"Juniper Industrial Holdings, Inc.",10.0,$13.19,31.9,2019,0.319,13.19,Industrials,Building Products & Equipment,NYSE,,,
2019-11-08,KRKR,36Kr Holdings Inc.,14.5,$3.48,-75.93,2019,-0.7593000000000001,3.490149999999999,Communication Services,Advertising Agencies,NASDAQ,data/raw/s1_filings/KRKR_2019-11-08_risk_factors.txt,data/raw/s1_filings/KRKR_2019-11-08_mda.txt,data/raw/s1_filings/KRKR_2019-11-08.txt
